"run" "growth_rate" "warfare_pressure" "carrying_capacity" "yearly_warfare_mortality" "sizeX" "allow_matrilocal" "matrilocal_pressure" "change_residence_pause" "sizeY" "newborn_male_bias" "preferred_marriage_weight"
1 0.4 100 500 0.005 1 1 0 0 10 116 0.5
2 0.5 100 500 0.005 1 1 0 0 10 116 0.5
3 0.6 100 500 0.005 1 1 0 0 10 116 0.5
4 0.7 100 500 0.005 1 1 0 0 10 116 0.5
5 0.8 100 500 0.005 1 1 0 0 10 116 0.5
6 0.4 200 500 0.005 1 1 0 0 10 116 0.5
7 0.5 200 500 0.005 1 1 0 0 10 116 0.5
8 0.6 200 500 0.005 1 1 0 0 10 116 0.5
9 0.7 200 500 0.005 1 1 0 0 10 116 0.5
10 0.8 200 500 0.005 1 1 0 0 10 116 0.5
11 0.4 300 500 0.005 1 1 0 0 10 116 0.5
12 0.5 300 500 0.005 1 1 0 0 10 116 0.5
13 0.6 300 500 0.005 1 1 0 0 10 116 0.5
14 0.7 300 500 0.005 1 1 0 0 10 116 0.5
15 0.8 300 500 0.005 1 1 0 0 10 116 0.5
16 0.4 100 1000 0.005 1 1 0 0 10 116 0.5
17 0.5 100 1000 0.005 1 1 0 0 10 116 0.5
18 0.6 100 1000 0.005 1 1 0 0 10 116 0.5
19 0.7 100 1000 0.005 1 1 0 0 10 116 0.5
20 0.8 100 1000 0.005 1 1 0 0 10 116 0.5
21 0.4 200 1000 0.005 1 1 0 0 10 116 0.5
22 0.5 200 1000 0.005 1 1 0 0 10 116 0.5
23 0.6 200 1000 0.005 1 1 0 0 10 116 0.5
24 0.7 200 1000 0.005 1 1 0 0 10 116 0.5
25 0.8 200 1000 0.005 1 1 0 0 10 116 0.5
26 0.4 300 1000 0.005 1 1 0 0 10 116 0.5
27 0.5 300 1000 0.005 1 1 0 0 10 116 0.5
28 0.6 300 1000 0.005 1 1 0 0 10 116 0.5
29 0.7 300 1000 0.005 1 1 0 0 10 116 0.5
30 0.8 300 1000 0.005 1 1 0 0 10 116 0.5
31 0.4 100 500 0.015 1 1 0 0 10 116 0.5
32 0.5 100 500 0.015 1 1 0 0 10 116 0.5
33 0.6 100 500 0.015 1 1 0 0 10 116 0.5
34 0.7 100 500 0.015 1 1 0 0 10 116 0.5
35 0.8 100 500 0.015 1 1 0 0 10 116 0.5
36 0.4 200 500 0.015 1 1 0 0 10 116 0.5
37 0.5 200 500 0.015 1 1 0 0 10 116 0.5
38 0.6 200 500 0.015 1 1 0 0 10 116 0.5
39 0.7 200 500 0.015 1 1 0 0 10 116 0.5
40 0.8 200 500 0.015 1 1 0 0 10 116 0.5
41 0.4 300 500 0.015 1 1 0 0 10 116 0.5
42 0.5 300 500 0.015 1 1 0 0 10 116 0.5
43 0.6 300 500 0.015 1 1 0 0 10 116 0.5
44 0.7 300 500 0.015 1 1 0 0 10 116 0.5
45 0.8 300 500 0.015 1 1 0 0 10 116 0.5
46 0.4 100 1000 0.015 1 1 0 0 10 116 0.5
47 0.5 100 1000 0.015 1 1 0 0 10 116 0.5
48 0.6 100 1000 0.015 1 1 0 0 10 116 0.5
49 0.7 100 1000 0.015 1 1 0 0 10 116 0.5
50 0.8 100 1000 0.015 1 1 0 0 10 116 0.5
51 0.4 200 1000 0.015 1 1 0 0 10 116 0.5
52 0.5 200 1000 0.015 1 1 0 0 10 116 0.5
53 0.6 200 1000 0.015 1 1 0 0 10 116 0.5
54 0.7 200 1000 0.015 1 1 0 0 10 116 0.5
55 0.8 200 1000 0.015 1 1 0 0 10 116 0.5
56 0.4 300 1000 0.015 1 1 0 0 10 116 0.5
57 0.5 300 1000 0.015 1 1 0 0 10 116 0.5
58 0.6 300 1000 0.015 1 1 0 0 10 116 0.5
59 0.7 300 1000 0.015 1 1 0 0 10 116 0.5
60 0.8 300 1000 0.015 1 1 0 0 10 116 0.5
61 0.4 100 500 0.025 1 1 0 0 10 116 0.5
62 0.5 100 500 0.025 1 1 0 0 10 116 0.5
63 0.6 100 500 0.025 1 1 0 0 10 116 0.5
64 0.7 100 500 0.025 1 1 0 0 10 116 0.5
65 0.8 100 500 0.025 1 1 0 0 10 116 0.5
66 0.4 200 500 0.025 1 1 0 0 10 116 0.5
67 0.5 200 500 0.025 1 1 0 0 10 116 0.5
68 0.6 200 500 0.025 1 1 0 0 10 116 0.5
69 0.7 200 500 0.025 1 1 0 0 10 116 0.5
70 0.8 200 500 0.025 1 1 0 0 10 116 0.5
71 0.4 300 500 0.025 1 1 0 0 10 116 0.5
72 0.5 300 500 0.025 1 1 0 0 10 116 0.5
73 0.6 300 500 0.025 1 1 0 0 10 116 0.5
74 0.7 300 500 0.025 1 1 0 0 10 116 0.5
75 0.8 300 500 0.025 1 1 0 0 10 116 0.5
76 0.4 100 1000 0.025 1 1 0 0 10 116 0.5
77 0.5 100 1000 0.025 1 1 0 0 10 116 0.5
78 0.6 100 1000 0.025 1 1 0 0 10 116 0.5
79 0.7 100 1000 0.025 1 1 0 0 10 116 0.5
80 0.8 100 1000 0.025 1 1 0 0 10 116 0.5
81 0.4 200 1000 0.025 1 1 0 0 10 116 0.5
82 0.5 200 1000 0.025 1 1 0 0 10 116 0.5
83 0.6 200 1000 0.025 1 1 0 0 10 116 0.5
84 0.7 200 1000 0.025 1 1 0 0 10 116 0.5
85 0.8 200 1000 0.025 1 1 0 0 10 116 0.5
86 0.4 300 1000 0.025 1 1 0 0 10 116 0.5
87 0.5 300 1000 0.025 1 1 0 0 10 116 0.5
88 0.6 300 1000 0.025 1 1 0 0 10 116 0.5
89 0.7 300 1000 0.025 1 1 0 0 10 116 0.5
90 0.8 300 1000 0.025 1 1 0 0 10 116 0.5
91 0.4 100 500 0.035 1 1 0 0 10 116 0.5
92 0.5 100 500 0.035 1 1 0 0 10 116 0.5
93 0.6 100 500 0.035 1 1 0 0 10 116 0.5
94 0.7 100 500 0.035 1 1 0 0 10 116 0.5
95 0.8 100 500 0.035 1 1 0 0 10 116 0.5
96 0.4 200 500 0.035 1 1 0 0 10 116 0.5
97 0.5 200 500 0.035 1 1 0 0 10 116 0.5
98 0.6 200 500 0.035 1 1 0 0 10 116 0.5
99 0.7 200 500 0.035 1 1 0 0 10 116 0.5
100 0.8 200 500 0.035 1 1 0 0 10 116 0.5
101 0.4 300 500 0.035 1 1 0 0 10 116 0.5
102 0.5 300 500 0.035 1 1 0 0 10 116 0.5
103 0.6 300 500 0.035 1 1 0 0 10 116 0.5
104 0.7 300 500 0.035 1 1 0 0 10 116 0.5
105 0.8 300 500 0.035 1 1 0 0 10 116 0.5
106 0.4 100 1000 0.035 1 1 0 0 10 116 0.5
107 0.5 100 1000 0.035 1 1 0 0 10 116 0.5
108 0.6 100 1000 0.035 1 1 0 0 10 116 0.5
109 0.7 100 1000 0.035 1 1 0 0 10 116 0.5
110 0.8 100 1000 0.035 1 1 0 0 10 116 0.5
111 0.4 200 1000 0.035 1 1 0 0 10 116 0.5
112 0.5 200 1000 0.035 1 1 0 0 10 116 0.5
113 0.6 200 1000 0.035 1 1 0 0 10 116 0.5
114 0.7 200 1000 0.035 1 1 0 0 10 116 0.5
115 0.8 200 1000 0.035 1 1 0 0 10 116 0.5
116 0.4 300 1000 0.035 1 1 0 0 10 116 0.5
117 0.5 300 1000 0.035 1 1 0 0 10 116 0.5
118 0.6 300 1000 0.035 1 1 0 0 10 116 0.5
119 0.7 300 1000 0.035 1 1 0 0 10 116 0.5
120 0.8 300 1000 0.035 1 1 0 0 10 116 0.5
121 0.4 100 500 0.045 1 1 0 0 10 116 0.5
122 0.5 100 500 0.045 1 1 0 0 10 116 0.5
123 0.6 100 500 0.045 1 1 0 0 10 116 0.5
124 0.7 100 500 0.045 1 1 0 0 10 116 0.5
125 0.8 100 500 0.045 1 1 0 0 10 116 0.5
126 0.4 200 500 0.045 1 1 0 0 10 116 0.5
127 0.5 200 500 0.045 1 1 0 0 10 116 0.5
128 0.6 200 500 0.045 1 1 0 0 10 116 0.5
129 0.7 200 500 0.045 1 1 0 0 10 116 0.5
130 0.8 200 500 0.045 1 1 0 0 10 116 0.5
131 0.4 300 500 0.045 1 1 0 0 10 116 0.5
132 0.5 300 500 0.045 1 1 0 0 10 116 0.5
133 0.6 300 500 0.045 1 1 0 0 10 116 0.5
134 0.7 300 500 0.045 1 1 0 0 10 116 0.5
135 0.8 300 500 0.045 1 1 0 0 10 116 0.5
136 0.4 100 1000 0.045 1 1 0 0 10 116 0.5
137 0.5 100 1000 0.045 1 1 0 0 10 116 0.5
138 0.6 100 1000 0.045 1 1 0 0 10 116 0.5
139 0.7 100 1000 0.045 1 1 0 0 10 116 0.5
140 0.8 100 1000 0.045 1 1 0 0 10 116 0.5
141 0.4 200 1000 0.045 1 1 0 0 10 116 0.5
142 0.5 200 1000 0.045 1 1 0 0 10 116 0.5
143 0.6 200 1000 0.045 1 1 0 0 10 116 0.5
144 0.7 200 1000 0.045 1 1 0 0 10 116 0.5
145 0.8 200 1000 0.045 1 1 0 0 10 116 0.5
146 0.4 300 1000 0.045 1 1 0 0 10 116 0.5
147 0.5 300 1000 0.045 1 1 0 0 10 116 0.5
148 0.6 300 1000 0.045 1 1 0 0 10 116 0.5
149 0.7 300 1000 0.045 1 1 0 0 10 116 0.5
150 0.8 300 1000 0.045 1 1 0 0 10 116 0.5
151 0.4 100 500 0.055 1 1 0 0 10 116 0.5
152 0.5 100 500 0.055 1 1 0 0 10 116 0.5
153 0.6 100 500 0.055 1 1 0 0 10 116 0.5
154 0.7 100 500 0.055 1 1 0 0 10 116 0.5
155 0.8 100 500 0.055 1 1 0 0 10 116 0.5
156 0.4 200 500 0.055 1 1 0 0 10 116 0.5
157 0.5 200 500 0.055 1 1 0 0 10 116 0.5
158 0.6 200 500 0.055 1 1 0 0 10 116 0.5
159 0.7 200 500 0.055 1 1 0 0 10 116 0.5
160 0.8 200 500 0.055 1 1 0 0 10 116 0.5
161 0.4 300 500 0.055 1 1 0 0 10 116 0.5
162 0.5 300 500 0.055 1 1 0 0 10 116 0.5
163 0.6 300 500 0.055 1 1 0 0 10 116 0.5
