run,villages-point-mean,population-point-var,population-stability-mean-5-mean,population-stability-var-5-var,population-stability-mean-10-mean,population-stability-var-10-var,population-stability-mean-100-mean,population-stability-var-100-var,population-trend-5-mean,population-trend-10-var,population-trend-100-mean,matrilocal-point-var,matrilocal-stability-mean-5-mean,matrilocal-stability-var-5-var,matrilocal-stability-mean-10-mean,matrilocal-stability-var-10-var,matrilocal-stability-mean-100-mean,matrilocal-stability-var-100-var,population-point-mean,population-stability-var-5-mean,population-stability-var-10-mean,population-stability-var-100-mean,population-trend-10-mean,matrilocal-point-mean,matrilocal-stability-var-5-mean,matrilocal-stability-var-10-mean,matrilocal-stability-var-100-mean,villages-point-var,population-stability-mean-5-var,population-stability-mean-10-var,population-stability-mean-100-var,population-trend-5-var,population-trend-100-var,matrilocal-stability-mean-5-var,matrilocal-stability-mean-10-var,matrilocal-stability-mean-100-var
371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,30,2240.08204081633,7859.508,61497.3848326531,7862.622,216670.6562774,7864.4208,470707.850259504,0.998925692672528,3.65157464028019e-05,0.999643036650568,0,0.33,0,0.33,0,0.33,0,7855.14,250.208,449.436666666667,1662.30311515152,0.998682632889378,0.33,0,0,0,0,2275.67707755102,2014.23889387755,388.530656489798,1.92488204273735e-05,7.26441410274289e-05,0,0,0
376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,30,12195.5412244898,8070.796,97336.6043632653,8066.876,912820.571267322,8052.7488,23674716.3119483,1.00118147739471,9.62175246179816e-05,1.00310326469708,0,0.33,0,0.33,0,0.33,0,8076.64,292.282,917.244444444444,7309.19554343434,1.00193948398896,0.33,0,0,0,0,12243.2334530612,11454.8088,3253.07521485715,2.32368255600148e-05,0.000382058011113863,0,0,0
378,30,14589.4302040816,11849.568,259272.833730612,11853.948,1886249.42615188,11855.363,26341381.5260906,0.999625984073518,6.26990711641777e-05,1.00045592890071,0,0.33,0,0.33,0,0.33,0,11846.72,423.612,1336.588,8056.30142020202,0.998797956921956,0.33,0,0,0,0,13516.8936489796,10652.4694857143,2194.02084183675,1.70225927020172e-05,0.000182257222605562,0,0,0
379,30,11209.7653061225,14503.708,207520.52757551,14501.79,3612918.80583144,14481.6872,11978497.7489348,0.999760104772363,4.5423664534295e-05,1.00163210742595,0,0.33,0,0.33,0,0.33,0,14502.5,449.024,1495.53666666667,6849.75465858586,1.00072305036841,0.33,0,0,0,0,10323.7097306123,9008.83153061224,1325.16514710204,1.14492859341212e-05,0.000100214378751164,0,0,0
380,30,8950.33306122449,16418.568,254031.380016327,16423.224,2371095.76744853,16437.9204,8898883.77188937,1.00003992646311,3.1113084013221e-05,0.999335942494336,0,0.33,0,0.33,0,0.33,0,16420.44,434.072,1289.13822222222,6747.82577777778,0.999247348319319,0.33,0,0,0,0,9188.1099755102,8415.18920816324,1090.07075902041,8.58120039583072e-06,6.70678513600139e-05,0,0,0
