"run" "growth_rate" "warfare_pressure" "carrying_capacity" "yearly_warfare_mortality" "sizeX" "allow_matrilocal" "matrilocal_pressure" "change_residence_pause" "sizeY" "newborn_male_bias" "preferred_marriage_weight"
103 0.55 300 1000 0.005 5 1 0 0 10 116 0.5
104 0.6 300 1000 0.005 5 1 0 0 10 116 0.5
105 0.65 300 1000 0.005 5 1 0 0 10 116 0.5
106 0.7 300 1000 0.005 5 1 0 0 10 116 0.5
107 0.75 300 1000 0.005 5 1 0 0 10 116 0.5
108 0.8 300 1000 0.005 5 1 0 0 10 116 0.5
109 0.4 0 100 0.01 5 1 0 0 10 116 0.5
110 0.45 0 100 0.01 5 1 0 0 10 116 0.5
111 0.5 0 100 0.01 5 1 0 0 10 116 0.5
112 0.55 0 100 0.01 5 1 0 0 10 116 0.5
113 0.6 0 100 0.01 5 1 0 0 10 116 0.5
114 0.65 0 100 0.01 5 1 0 0 10 116 0.5
115 0.7 0 100 0.01 5 1 0 0 10 116 0.5
116 0.75 0 100 0.01 5 1 0 0 10 116 0.5
117 0.8 0 100 0.01 5 1 0 0 10 116 0.5
118 0.4 100 100 0.01 5 1 0 0 10 116 0.5
119 0.45 100 100 0.01 5 1 0 0 10 116 0.5
120 0.5 100 100 0.01 5 1 0 0 10 116 0.5
121 0.55 100 100 0.01 5 1 0 0 10 116 0.5
122 0.6 100 100 0.01 5 1 0 0 10 116 0.5
123 0.65 100 100 0.01 5 1 0 0 10 116 0.5
124 0.7 100 100 0.01 5 1 0 0 10 116 0.5
125 0.75 100 100 0.01 5 1 0 0 10 116 0.5
126 0.8 100 100 0.01 5 1 0 0 10 116 0.5
127 0.4 200 100 0.01 5 1 0 0 10 116 0.5
128 0.45 200 100 0.01 5 1 0 0 10 116 0.5
129 0.5 200 100 0.01 5 1 0 0 10 116 0.5
130 0.55 200 100 0.01 5 1 0 0 10 116 0.5
131 0.6 200 100 0.01 5 1 0 0 10 116 0.5
132 0.65 200 100 0.01 5 1 0 0 10 116 0.5
133 0.7 200 100 0.01 5 1 0 0 10 116 0.5
134 0.75 200 100 0.01 5 1 0 0 10 116 0.5
135 0.8 200 100 0.01 5 1 0 0 10 116 0.5
136 0.4 300 100 0.01 5 1 0 0 10 116 0.5
137 0.45 300 100 0.01 5 1 0 0 10 116 0.5
138 0.5 300 100 0.01 5 1 0 0 10 116 0.5
139 0.55 300 100 0.01 5 1 0 0 10 116 0.5
140 0.6 300 100 0.01 5 1 0 0 10 116 0.5
141 0.65 300 100 0.01 5 1 0 0 10 116 0.5
142 0.7 300 100 0.01 5 1 0 0 10 116 0.5
143 0.75 300 100 0.01 5 1 0 0 10 116 0.5
144 0.8 300 100 0.01 5 1 0 0 10 116 0.5
145 0.4 0 500 0.01 5 1 0 0 10 116 0.5
146 0.45 0 500 0.01 5 1 0 0 10 116 0.5
147 0.5 0 500 0.01 5 1 0 0 10 116 0.5
148 0.55 0 500 0.01 5 1 0 0 10 116 0.5
149 0.6 0 500 0.01 5 1 0 0 10 116 0.5
150 0.65 0 500 0.01 5 1 0 0 10 116 0.5
151 0.7 0 500 0.01 5 1 0 0 10 116 0.5
152 0.75 0 500 0.01 5 1 0 0 10 116 0.5
153 0.8 0 500 0.01 5 1 0 0 10 116 0.5
154 0.4 100 500 0.01 5 1 0 0 10 116 0.5
155 0.45 100 500 0.01 5 1 0 0 10 116 0.5
156 0.5 100 500 0.01 5 1 0 0 10 116 0.5
157 0.55 100 500 0.01 5 1 0 0 10 116 0.5
158 0.6 100 500 0.01 5 1 0 0 10 116 0.5
159 0.65 100 500 0.01 5 1 0 0 10 116 0.5
160 0.7 100 500 0.01 5 1 0 0 10 116 0.5
161 0.75 100 500 0.01 5 1 0 0 10 116 0.5
162 0.8 100 500 0.01 5 1 0 0 10 116 0.5
163 0.4 200 500 0.01 5 1 0 0 10 116 0.5
164 0.45 200 500 0.01 5 1 0 0 10 116 0.5
165 0.5 200 500 0.01 5 1 0 0 10 116 0.5
166 0.55 200 500 0.01 5 1 0 0 10 116 0.5
167 0.6 200 500 0.01 5 1 0 0 10 116 0.5
168 0.65 200 500 0.01 5 1 0 0 10 116 0.5
169 0.7 200 500 0.01 5 1 0 0 10 116 0.5
170 0.75 200 500 0.01 5 1 0 0 10 116 0.5
171 0.8 200 500 0.01 5 1 0 0 10 116 0.5
172 0.4 300 500 0.01 5 1 0 0 10 116 0.5
173 0.45 300 500 0.01 5 1 0 0 10 116 0.5
174 0.5 300 500 0.01 5 1 0 0 10 116 0.5
175 0.55 300 500 0.01 5 1 0 0 10 116 0.5
176 0.6 300 500 0.01 5 1 0 0 10 116 0.5
177 0.65 300 500 0.01 5 1 0 0 10 116 0.5
178 0.7 300 500 0.01 5 1 0 0 10 116 0.5
179 0.75 300 500 0.01 5 1 0 0 10 116 0.5
180 0.8 300 500 0.01 5 1 0 0 10 116 0.5
181 0.4 0 1000 0.01 5 1 0 0 10 116 0.5
182 0.45 0 1000 0.01 5 1 0 0 10 116 0.5
183 0.5 0 1000 0.01 5 1 0 0 10 116 0.5
184 0.55 0 1000 0.01 5 1 0 0 10 116 0.5
185 0.6 0 1000 0.01 5 1 0 0 10 116 0.5
186 0.65 0 1000 0.01 5 1 0 0 10 116 0.5
187 0.7 0 1000 0.01 5 1 0 0 10 116 0.5
188 0.75 0 1000 0.01 5 1 0 0 10 116 0.5
189 0.8 0 1000 0.01 5 1 0 0 10 116 0.5
190 0.4 100 1000 0.01 5 1 0 0 10 116 0.5
191 0.45 100 1000 0.01 5 1 0 0 10 116 0.5
192 0.5 100 1000 0.01 5 1 0 0 10 116 0.5
193 0.55 100 1000 0.01 5 1 0 0 10 116 0.5
194 0.6 100 1000 0.01 5 1 0 0 10 116 0.5
195 0.65 100 1000 0.01 5 1 0 0 10 116 0.5
196 0.7 100 1000 0.01 5 1 0 0 10 116 0.5
197 0.75 100 1000 0.01 5 1 0 0 10 116 0.5
198 0.8 100 1000 0.01 5 1 0 0 10 116 0.5
199 0.4 200 1000 0.01 5 1 0 0 10 116 0.5
200 0.45 200 1000 0.01 5 1 0 0 10 116 0.5
201 0.5 200 1000 0.01 5 1 0 0 10 116 0.5
202 0.55 200 1000 0.01 5 1 0 0 10 116 0.5
203 0.6 200 1000 0.01 5 1 0 0 10 116 0.5
204 0.65 200 1000 0.01 5 1 0 0 10 116 0.5
205 0.7 200 1000 0.01 5 1 0 0 10 116 0.5
206 0.75 200 1000 0.01 5 1 0 0 10 116 0.5
207 0.8 200 1000 0.01 5 1 0 0 10 116 0.5
208 0.4 300 1000 0.01 5 1 0 0 10 116 0.5
209 0.45 300 1000 0.01 5 1 0 0 10 116 0.5
210 0.5 300 1000 0.01 5 1 0 0 10 116 0.5
211 0.55 300 1000 0.01 5 1 0 0 10 116 0.5
212 0.6 300 1000 0.01 5 1 0 0 10 116 0.5
213 0.65 300 1000 0.01 5 1 0 0 10 116 0.5
214 0.7 300 1000 0.01 5 1 0 0 10 116 0.5
215 0.75 300 1000 0.01 5 1 0 0 10 116 0.5
216 0.8 300 1000 0.01 5 1 0 0 10 116 0.5
217 0.4 0 100 0.015 5 1 0 0 10 116 0.5
218 0.45 0 100 0.015 5 1 0 0 10 116 0.5
219 0.5 0 100 0.015 5 1 0 0 10 116 0.5
220 0.55 0 100 0.015 5 1 0 0 10 116 0.5
221 0.6 0 100 0.015 5 1 0 0 10 116 0.5
222 0.65 0 100 0.015 5 1 0 0 10 116 0.5
223 0.7 0 100 0.015 5 1 0 0 10 116 0.5
224 0.75 0 100 0.015 5 1 0 0 10 116 0.5
225 0.8 0 100 0.015 5 1 0 0 10 116 0.5
226 0.4 100 100 0.015 5 1 0 0 10 116 0.5
227 0.45 100 100 0.015 5 1 0 0 10 116 0.5
228 0.5 100 100 0.015 5 1 0 0 10 116 0.5
229 0.55 100 100 0.015 5 1 0 0 10 116 0.5
230 0.6 100 100 0.015 5 1 0 0 10 116 0.5
231 0.65 100 100 0.015 5 1 0 0 10 116 0.5
232 0.7 100 100 0.015 5 1 0 0 10 116 0.5
233 0.75 100 100 0.015 5 1 0 0 10 116 0.5
234 0.8 100 100 0.015 5 1 0 0 10 116 0.5
235 0.4 200 100 0.015 5 1 0 0 10 116 0.5
236 0.45 200 100 0.015 5 1 0 0 10 116 0.5
237 0.5 200 100 0.015 5 1 0 0 10 116 0.5
238 0.55 200 100 0.015 5 1 0 0 10 116 0.5
239 0.6 200 100 0.015 5 1 0 0 10 116 0.5
240 0.65 200 100 0.015 5 1 0 0 10 116 0.5
241 0.7 200 100 0.015 5 1 0 0 10 116 0.5
242 0.75 200 100 0.015 5 1 0 0 10 116 0.5
243 0.8 200 100 0.015 5 1 0 0 10 116 0.5
244 0.4 300 100 0.015 5 1 0 0 10 116 0.5
245 0.45 300 100 0.015 5 1 0 0 10 116 0.5
246 0.5 300 100 0.015 5 1 0 0 10 116 0.5
247 0.55 300 100 0.015 5 1 0 0 10 116 0.5
248 0.6 300 100 0.015 5 1 0 0 10 116 0.5
249 0.65 300 100 0.015 5 1 0 0 10 116 0.5
250 0.7 300 100 0.015 5 1 0 0 10 116 0.5
251 0.75 300 100 0.015 5 1 0 0 10 116 0.5
252 0.8 300 100 0.015 5 1 0 0 10 116 0.5
253 0.4 0 500 0.015 5 1 0 0 10 116 0.5
254 0.45 0 500 0.015 5 1 0 0 10 116 0.5
255 0.5 0 500 0.015 5 1 0 0 10 116 0.5
256 0.55 0 500 0.015 5 1 0 0 10 116 0.5
257 0.6 0 500 0.015 5 1 0 0 10 116 0.5
258 0.65 0 500 0.015 5 1 0 0 10 116 0.5
259 0.7 0 500 0.015 5 1 0 0 10 116 0.5
260 0.75 0 500 0.015 5 1 0 0 10 116 0.5
261 0.8 0 500 0.015 5 1 0 0 10 116 0.5
262 0.4 100 500 0.015 5 1 0 0 10 116 0.5
263 0.45 100 500 0.015 5 1 0 0 10 116 0.5
264 0.5 100 500 0.015 5 1 0 0 10 116 0.5
265 0.55 100 500 0.015 5 1 0 0 10 116 0.5
266 0.6 100 500 0.015 5 1 0 0 10 116 0.5
267 0.65 100 500 0.015 5 1 0 0 10 116 0.5
268 0.7 100 500 0.015 5 1 0 0 10 116 0.5
