run,villages-point-mean,population-point-var,population-stability-mean-5-mean,population-stability-var-5-var,population-stability-mean-10-mean,population-stability-var-10-var,population-stability-mean-100-mean,population-stability-var-100-var,population-trend-5-mean,population-trend-10-var,population-trend-100-mean,matrilocal-point-var,matrilocal-stability-mean-5-mean,matrilocal-stability-var-5-var,matrilocal-stability-mean-10-mean,matrilocal-stability-var-10-var,matrilocal-stability-mean-100-mean,matrilocal-stability-var-100-var,population-point-mean,population-stability-var-5-mean,population-stability-var-10-mean,population-stability-var-100-mean,population-trend-10-mean,matrilocal-point-mean,matrilocal-stability-var-5-mean,matrilocal-stability-var-10-mean,matrilocal-stability-var-100-mean,villages-point-var,population-stability-mean-5-var,population-stability-mean-10-var,population-stability-mean-100-var,population-trend-5-var,population-trend-100-var,matrilocal-stability-mean-5-var,matrilocal-stability-mean-10-var,matrilocal-stability-mean-100-var
1861,35.16,8411.53836734694,1520.208,21968229.8968367,1754.712,135289569.145615,3438.1296,5453534866.95387,0.783409136261066,0.000843254886718252,0.195000415767379,0.00045065306122449,0.25772,2.18565755102041e-07,0.23162,1.73516809775762e-07,0.023238,2.10963539238228e-07,1342.18,21513.99,78984.924,1617867.89507475,0.620290631141741,0.2806,0.0006134,0.00115935555555556,0.00498952262626263,4.05551020408163,6793.27013877551,6022.63822040816,2670.3770202449,0.000689586443914596,0.00018086538905153,0.000193960816326531,0.000102607755102041,1.08975102040816e-06
1862,47.88,6385.63265306122,5854.644,27765450.2219959,6123.406,128620702.409329,6969.388,1410434671.93757,0.930198654784493,4.89347324873111e-05,0.652206428435655,0.000316571428571429,0.19256,3.40581632653061e-08,0.16616,9.65304300327539e-07,0.016616,5.23232511228134e-08,5648.8,28412.362,104144.022888889,313561.455757576,0.857822963015306,0.1824,0.000159,0.00238008888888889,0.00273432808080808,1.65877551020408,6708.80373877552,7032.16792244898,1923.91699591837,3.65958985878591e-05,9.44483904402514e-05,4.63738775510204e-05,9.01779591836735e-05,9.01779591836735e-07
1863,50,5435.86285714286,9164.444,11558954.9719224,9360.026,111746518.232422,9830.0736,137497954.535037,0.966134908180678,3.82671219577178e-05,0.868147967793216,0.000102693877551021,0.18104,1.45061224489796e-07,0.13904,1.03949286974049e-06,0.013904,1.09948703576686e-07,9001.12,15797.254,57471.4491111111,50074.2865131313,0.925892035714859,0.1956,0.000356,0.00298311111111111,0.00204428282828283,0,5707.45680000002,6662.71951428569,1374.1580969796,1.28895422649544e-05,7.1988558797032e-05,0.000206243265306123,0.00017538612244898,1.7538612244898e-06
1864,50,4747.75510204082,11498.56,6168738.74336735,11646.442,60754842.7925939,11978.6614,21318964.1260603,0.982923144566367,2.42988857035405e-05,0.954050097766511,0.000867918367346939,0.14928,2.68423836734694e-07,0.11044,2.15010833963215e-06,0.011044,2.59176265395659e-07,11400.4,6305.51,32881.3166666667,21095.9664545455,0.954931294795174,0.1712,0.0006192,0.00274888888888889,0.00140717171717172,0,4394.90448979591,4287.0751387755,1325.64036738776,1.01319064861561e-05,5.63197341875336e-05,0.000859715918367347,0.000543884081632653,5.43884081632653e-06
1865,50,3684.3493877551,13208.316,2503074.37388163,13312.388,51282353.4387032,13609.1982,19772265.1159993,0.992206766365373,3.28058089351473e-05,0.979551448939931,0.00119183673469388,0.12496,2.61473306122449e-07,0.09148,1.76567154648526e-06,0.009148,2.53756608165514e-07,13158.76,2066.686,17813.6764444444,18414.4331535354,0.971293548932688,0.144,0.0005704,0.00222657777777778,0.00101420525252525,0,3562.0197387755,4225.02515918367,717.024178326536,1.39240598767982e-05,4.00160827283012e-05,0.00101130448979592,0.000572540408163265,5.72540408163266e-06
1866,32.72,9021.60163265306,1452.1,31004611.947249,1704.84,253636042.976306,3439.507,6717759316.02255,0.762676856124403,0.00117905249735843,0.182705485981621,0.000503224489795919,0.27652,1.82943020408163e-07,0.24576,2.40024921138826e-07,0.024596,1.91577311307093e-07,1257.52,23619.836,90691.0377777778,1618906.14852727,0.591047886906203,0.3078,0.0005472,0.00141137777777778,0.00562586909090909,5.18530612244898,8632.42163265306,7709.67387755102,2417.46990714286,0.000741283538831397,0.000190556679283256,0.000157683265306122,8.38595918367347e-05,8.84065306122448e-07
1867,41.82,14406.5881632653,5320.392,190875134.045208,5723.072,933555890.522039,6936.8292,1565845229.76674,0.887580694677944,0.000166555151110864,0.578401269518662,0.000252285714285714,0.20928,9.12646530612244e-08,0.20156,1.22480370874276e-07,0.020156,2.66164784174876e-08,5011.94,63368.564,239919.843111111,414460.285672727,0.773678677710599,0.2274,0.0004408,0.000425511111111111,0.00373383191919192,1.45673469387755,11596.4521795918,9788.53062857145,2960.53633812245,0.0001538486489012,0.000205349685180799,5.84097959183673e-05,2.06187755102041e-05,2.06187755102041e-07
1868,46.64,7002.68408163265,8292.04,181150844.255612,8753.476,938256645.669969,9771.4208,229267137.473389,0.93278449343499,6.81198561517574e-05,0.773318909569779,0.000374040816326531,0.1942,2.98963673469388e-08,0.18322,4.15519587301587e-07,0.018322,2.6473225760012e-08,8014.64,53352.19,308266.312888889,162334.090929293,0.833879167816406,0.1912,0.0001766,0.00113393333333333,0.00315825393939394,1.54122448979592,4197.87591836735,4090.60390204081,2129.39357893878,5.78269027096337e-05,7.71468181746957e-05,3.5795918367347e-05,3.80526530612245e-05,3.80526530612245e-07
1869,49.56,4113.16897959184,10440.716,110185314.767771,10940.014,703163310.505465,11908.5286,218545591.433434,0.938024381127564,2.5136266951033e-05,0.846811624787999,7.85306122448981e-05,0.1988,1.42040816326531e-09,0.17456,7.21244718568909e-07,0.017456,1.91269254700791e-08,10134.12,70155.572,350130.266444444,142533.275044444,0.858013420434917,0.1952,2.4e-05,0.00218964444444444,0.0029726694949495,0.333061224489796,3916.4997387755,4496.85510612245,1430.43437555102,2.01612680701864e-05,4.52173025386805e-05,4.24489795918368e-06,3.93126530612245e-05,3.93126530612245e-07
1870,50,2290.21591836735,12144.16,95348514.9685877,12628.166,845726992.866098,13539.2298,95421451.9280994,0.938368382666357,2.1331762458958e-05,0.87852132768031,0,0.19968,4.80653061224492e-10,0.1694,1.23557481683044e-06,0.01694,4.17767736913143e-08,11775.22,95399.772,336740.068222222,130897.597610101,0.875432191586925,0.2,6.40000000000001e-06,0.00249608888888889,0.00284341898989899,0,2780.18448979593,2789.12351428572,714.837712204078,8.79708050074394e-06,2.54862419271373e-05,1.20163265306123e-06,8.68979591836735e-05,8.68979591836735e-07
