"run" "growth_rate" "warfare_pressure" "carrying_capacity" "yearly_warfare_mortality" "sizeX" "allow_matrilocal" "matrilocal_pressure" "change_residence_pause" "sizeY" "newborn_male_bias" "preferred_marriage_weight"
1 0.4 100 500 0.005 5 0 0 0 10 116 0.5
2 0.5 100 500 0.005 5 0 0 0 10 116 0.5
3 0.6 100 500 0.005 5 0 0 0 10 116 0.5
4 0.7 100 500 0.005 5 0 0 0 10 116 0.5
5 0.8 100 500 0.005 5 0 0 0 10 116 0.5
6 0.4 200 500 0.005 5 0 0 0 10 116 0.5
7 0.5 200 500 0.005 5 0 0 0 10 116 0.5
8 0.6 200 500 0.005 5 0 0 0 10 116 0.5
9 0.7 200 500 0.005 5 0 0 0 10 116 0.5
10 0.8 200 500 0.005 5 0 0 0 10 116 0.5
11 0.4 300 500 0.005 5 0 0 0 10 116 0.5
12 0.5 300 500 0.005 5 0 0 0 10 116 0.5
13 0.6 300 500 0.005 5 0 0 0 10 116 0.5
14 0.7 300 500 0.005 5 0 0 0 10 116 0.5
15 0.8 300 500 0.005 5 0 0 0 10 116 0.5
16 0.4 100 1000 0.005 5 0 0 0 10 116 0.5
17 0.5 100 1000 0.005 5 0 0 0 10 116 0.5
18 0.6 100 1000 0.005 5 0 0 0 10 116 0.5
19 0.7 100 1000 0.005 5 0 0 0 10 116 0.5
20 0.8 100 1000 0.005 5 0 0 0 10 116 0.5
21 0.4 200 1000 0.005 5 0 0 0 10 116 0.5
22 0.5 200 1000 0.005 5 0 0 0 10 116 0.5
23 0.6 200 1000 0.005 5 0 0 0 10 116 0.5
24 0.7 200 1000 0.005 5 0 0 0 10 116 0.5
25 0.8 200 1000 0.005 5 0 0 0 10 116 0.5
26 0.4 300 1000 0.005 5 0 0 0 10 116 0.5
27 0.5 300 1000 0.005 5 0 0 0 10 116 0.5
28 0.6 300 1000 0.005 5 0 0 0 10 116 0.5
29 0.7 300 1000 0.005 5 0 0 0 10 116 0.5
30 0.8 300 1000 0.005 5 0 0 0 10 116 0.5
31 0.4 100 500 0.015 5 0 0 0 10 116 0.5
32 0.5 100 500 0.015 5 0 0 0 10 116 0.5
33 0.6 100 500 0.015 5 0 0 0 10 116 0.5
34 0.7 100 500 0.015 5 0 0 0 10 116 0.5
35 0.8 100 500 0.015 5 0 0 0 10 116 0.5
36 0.4 200 500 0.015 5 0 0 0 10 116 0.5
37 0.5 200 500 0.015 5 0 0 0 10 116 0.5
38 0.6 200 500 0.015 5 0 0 0 10 116 0.5
39 0.7 200 500 0.015 5 0 0 0 10 116 0.5
40 0.8 200 500 0.015 5 0 0 0 10 116 0.5
41 0.4 300 500 0.015 5 0 0 0 10 116 0.5
42 0.5 300 500 0.015 5 0 0 0 10 116 0.5
43 0.6 300 500 0.015 5 0 0 0 10 116 0.5
44 0.7 300 500 0.015 5 0 0 0 10 116 0.5
45 0.8 300 500 0.015 5 0 0 0 10 116 0.5
46 0.4 100 1000 0.015 5 0 0 0 10 116 0.5
