run,villages-point-mean,population-point-var,population-stability-mean-5-mean,population-stability-var-5-var,population-stability-mean-10-mean,population-stability-var-10-var,population-stability-mean-100-mean,population-stability-var-100-var,population-trend-5-mean,population-trend-10-var,population-trend-100-mean,matrilocal-point-var,matrilocal-stability-mean-5-mean,matrilocal-stability-var-5-var,matrilocal-stability-mean-10-mean,matrilocal-stability-var-10-var,matrilocal-stability-mean-100-mean,matrilocal-stability-var-100-var,population-point-mean,population-stability-var-5-mean,population-stability-var-10-mean,population-stability-var-100-mean,population-trend-10-mean,matrilocal-point-mean,matrilocal-stability-var-5-mean,matrilocal-stability-var-10-mean,matrilocal-stability-var-100-mean,villages-point-var,population-stability-mean-5-var,population-stability-mean-10-var,population-stability-mean-100-var,population-trend-5-var,population-trend-100-var,matrilocal-stability-mean-5-var,matrilocal-stability-mean-10-var,matrilocal-stability-mean-100-var
4411,0,0,0,0,0,0,244.0128,1111372821.52636,0,0,0,0,0,0,0,0,0.2678,5.2802146386562e-05,0,0,0,293710.163967677,0,0,0,0,0.197816161616162,0,0,0,380.051334857143,0,0,0,0,0.000250163265306122
4412,0,0,0,0,0,0,1575.7294,27049412227.4,0,0,0,0,0,0,0,0,0.5028,3.78403703079033e-07,0,0,0,4474654.79385657,0,0,0,0,0.252133333333333,0,0,0,3682.76148738775,0,0,0,0,0.000387918367346939
4413,0,0,0,0,0,0,3813.1768,59292724586.893,0,0,0,0,0,0,0,0,0.758,0.000125974650649975,0,0,0,10772697.4666949,0,0,0,0,0.184848484848485,0,0,0,9448.48195281633,0,0,0,0,0.000444897959183674
4414,7.2,126470.050612245,884.548,374048943.792494,1265.266,1989638172.00657,6662.8264,746256249304.641,0.433018339809375,0.0201309029960612,0.0491235177432964,0.0391836734693878,0.988,0.00255102040816327,0.994,0.00081758629377677,0.9994,9.67758392000816e-06,583.52,61631.534,214245.277555556,10421513.9705697,0.278781988010918,0.96,0.01,0.00555555555555556,0.000595959595959596,9.18367346938776,158630.878057143,151779.585146939,28908.624692898,0.029248278436056,0.000900771459461491,0.00393469387755102,0.000983673469387755,9.83673469387757e-06
4415,22.66,86196.0228571429,5242.868,55501608.3565878,5466.298,511904853.752888,9450.11,319092667550.063,0.93637435829107,0.000309068500612496,0.375167564736799,0,1,0,1,0,1,0,5070.24,19442.888,75597.4353333333,6082128.46458182,0.862360687091889,1,0,0,0,5.24938775510204,81684.3389551021,89101.5075469388,27760.6297591837,0.000159961163084393,0.00049712653429707,0,0,0
4416,0,0,0,0,0,0,237.3438,1303033578.72983,0,0,0,0,0,0,0,0,0.2548,7.33105701417391e-05,0,0,0,288838.11269697,0,0,0,0,0.19150303030303,0,0,0,383.016766897959,0,0,0,0,0.000294857142857143
4417,0,0,0,0,0,0,1212.0246,17296101633.682,0,0,0,0,0,0,0,0,0.416,1.49664028451907e-05,0,0,0,3720269.66514949,0,0,0,0,0.244808080808081,0,0,0,2553.10560902041,0,0,0,0,0.000595918367346939
4418,0,0,0,0,0,0,2441.8404,92686264589.2094,0,0,0,0,0,0,0,0,0.5362,4.41504719426799e-06,0,0,0,9621787.57395151,0,0,0,0,0.250640404040404,0,0,0,10191.8141998367,0,0,0,0,0.000566897959183673
4419,0,0,0,0,0,0,3654.1666,82044159092.2182,0,0,0,0,0,0,0,0,0.6332,3.67538339486391e-05,0,0,0,15455122.2059657,0,0,0,0,0.234137373737374,0,0,0,11800.1315698367,0,0,0,0,0.000471183673469388
4420,0,0,0,0,0,0,4875.4758,138263934673.4,0,0,0,0,0,0,0,0,0.733,0.000192370312067282,0,0,0,20117163.1271859,0,0,0,0,0.196838383838384,0,0,0,24404.9537758776,0,0,0,0,0.000858163265306123
