run,villages-point-mean,population-point-var,population-stability-mean-5-mean,population-stability-var-5-var,population-stability-mean-10-mean,population-stability-var-10-var,population-stability-mean-100-mean,population-stability-var-100-var,population-trend-5-mean,population-trend-10-var,population-trend-100-mean,matrilocal-point-var,matrilocal-stability-mean-5-mean,matrilocal-stability-var-5-var,matrilocal-stability-mean-10-mean,matrilocal-stability-var-10-var,matrilocal-stability-mean-100-mean,matrilocal-stability-var-100-var,population-point-mean,population-stability-var-5-mean,population-stability-var-10-mean,population-stability-var-100-mean,population-trend-10-mean,matrilocal-point-mean,matrilocal-stability-var-5-mean,matrilocal-stability-var-10-mean,matrilocal-stability-var-100-mean,villages-point-var,population-stability-mean-5-var,population-stability-mean-10-var,population-stability-mean-100-var,population-trend-5-var,population-trend-100-var,matrilocal-stability-mean-5-var,matrilocal-stability-mean-10-var,matrilocal-stability-mean-100-var,growth_rate,warfare_pressure,carrying_capacity,yearly_warfare_mortality,sizeX,allow_matrilocal,matrilocal_pressure,change_residence_pause,sizeY,newborn_male_bias,preferred_marriage_weight
4160,40.74,10742.612244898,3587.86,49860852.2244898,3895.276,284964440.686803,5219.7624,3234238303.55385,0.867522888406615,0.000175009506153969,0.429698063454316,0.000182081632653061,0.209,1.93861265306122e-07,0.1986,1.5745031191736e-07,0.01986,4.06336276283345e-08,3341.8,41171.96,139089.786666667,815351.940137374,0.751937445392937,0.2366,0.0007214,0.000779244444444444,0.00365944767676768,1.0534693877551,9288.10653061225,8495.32226938775,3196.29062269388,0.000129279965846132,0.000182070110730041,9.2938775510204e-05,3.33877551020408e-05,3.33877551020408e-07,0.45,200,500,0.015,5,1,0,0,10,116,0.8
4161,45.44,12324.1371428571,5639.28,72569481.2755143,5969.77,527915644.920407,6950.177,1515799465.24541,0.917063015540818,0.000134631157798713,0.623263629591051,0.000615877551020408,0.19072,9.23505714285714e-08,0.17592,4.72748190476191e-07,0.017592,3.41837646280992e-08,5398.84,37636.314,157677.598,345558.828862626,0.824208342026414,0.1838,0.0003062,0.0016112,0.00296377454545455,2.70040816326531,10439.3208163265,9731.2437755102,2273.53009897959,8.67533281205396e-05,0.00017440990188121,4.82873469387756e-05,4.33404081632652e-05,4.33404081632653e-07,0.5,200,500,0.015,5,1,0,0,10,116,0.8
4162,49.4,5193.88734693878,7402.448,41756684.4142694,7726.976,248100831.467327,8492.1276,361918528.278541,0.933196073583511,3.64418263132024e-05,0.75008233640754,9.97551020408165e-05,0.19676,4.56200000000001e-09,0.16538,9.28098376921139e-07,0.016538,5.30464901077983e-08,7155.52,41652.404,152244.711555556,150957.90409697,0.863358635224894,0.1932,5.82000000000001e-05,0.00258691111111111,0.00272993555555556,0.408163265306122,6052.94295510204,6205.39492244898,1810.27659412245,2.20495001410962e-05,6.63415194055563e-05,1.40228571428572e-05,9.37097959183674e-05,9.37097959183674e-07,0.55,200,500,0.015,5,1,0,0,10,116,0.8
4163,49.94,4575.02408163265,8900.5,39800204.1276571,9195.874,186979688.729898,9813.3618,117814901.591502,0.943805382337522,2.49215433559985e-05,0.832768070527761,1.56734693877551e-05,0.19,8.20564897959184e-08,0.14928,1.61637993650794e-06,0.014928,7.6905102773936e-08,8638.58,41720.836,128972.632222222,73556.8409434344,0.889936300177625,0.1992,0.0002408,0.00315786666666667,0.00232732606060606,0.0575510204081633,4681.55632653061,5247.18073877551,2515.96690485714,1.53695266680995e-05,4.58459810122155e-05,5.56734693877551e-05,0.000161430204081633,1.61430204081633e-06,0.6,200,500,0.015,5,1,0,0,10,116,0.8
4164,50,4162.76571428571,10187.116,32746055.6286082,10446.968,165166973.928194,10970.5232,69178611.2335793,0.957624495577774,2.56378560510171e-05,0.891305175431637,0.000114285714285714,0.1728,2.52555102040816e-07,0.13336,1.08458550566893e-06,0.013336,8.30206151998651e-08,9958.36,30490.442,100324.716,46556.1246747475,0.912898875679236,0.192,0.000612,0.00312426666666667,0.00191509333333333,0,4396.16014693878,4796.69650612243,1148.63595281632,1.40080192673762e-05,4.48524635181652e-05,0.000162612244897959,0.000160071836734694,1.60071836734694e-06,0.65,200,500,0.015,5,1,0,0,10,116,0.8
4165,50,3980.01020408163,11260.976,35437009.2567388,11488.334,223087974.540263,11961.9366,63938979.0160292,0.968138581828691,3.53284818671932e-05,0.925510121748503,0.000588408163265306,0.15688,5.06292897959184e-07,0.11784,1.62235101234568e-06,0.011784,1.58838780292057e-07,11074.1,20961.514,77401.4566666667,38868.8117919192,0.929963037890612,0.1744,0.0007736,0.0029488,0.00155975272727273,0,5252.58390204081,6866.50555510204,1014.08174126531,1.76623419668382e-05,3.75357444307571e-05,0.000460597551020408,0.000328790204081633,3.28790204081633e-06,0.7,200,500,0.015,5,1,0,0,10,116,0.8
4166,50,3872.66163265306,12199.52,21278202.342698,12400.39,138827883.147733,12841.98,41607240.6675582,0.97545487440791,2.65025062595918e-05,0.947194891716044,0.000723102040816327,0.14016,5.00312816326531e-07,0.10764,9.84689334341144e-07,0.010764,1.85588209215803e-07,12045.54,14627.134,60649.698,34464.2943191919,0.942277428204464,0.1556,0.0006288,0.00224008888888889,0.00130000080808081,0,4361.60653061224,4954.42622448979,745.066351020407,1.48273748932457e-05,3.26087686814737e-05,0.000557688163265306,0.000483214693877551,4.83214693877551e-06,0.75,200,500,0.015,5,1,0,0,10,116,0.8
4167,50,2891.04326530612,13012.516,15241343.5497959,13186.71,137359303.71957,13600.2908,42319307.6988866,0.981390314704736,3.06718034885995e-05,0.9589903866841,0.000966693877551021,0.13264,4.83680653061225e-07,0.10104,1.28739491055682e-06,0.010104,1.77776493910451e-07,12888.24,9669.92,46416.2797777778,30322.3459151515,0.952286864727564,0.1492,0.0007536,0.00211288888888889,0.00115986262626263,0,3184.26300408162,3642.47561224489,951.434876897951,1.46202277869827e-05,2.55914082486576e-05,0.000674847346938776,0.00044542693877551,4.4542693877551e-06,0.8,200,500,0.015,5,1,0,0,10,116,0.8
4168,32.96,9716.26163265306,1441.74,43193547.0530612,1694.424,152563650.942091,3446.3288,7248810690.5485,0.763028622273984,0.000947172533920162,0.181193668865704,0.00029795918367347,0.27412,7.61217959183674e-08,0.24352,1.43079236079617e-07,0.024352,1.14613367939715e-07,1249.06,23405.98,90582.8088888889,1645202.60177374,0.588643080385859,0.302,0.0004692,0.00135075555555556,0.00551824323232323,3.67183673469388,8180.23714285714,8013.4206367347,4029.1556475102,0.00105281128853318,0.000202679786547857,0.000103740408163265,4.89077551020408e-05,4.89077551020408e-07,0.4,300,500,0.015,5,1,0,0,10,116,0.8
4169,40.22,10965.7730612245,3448.228,114042040.518649,3801.316,798507495.185205,5221.8762,4301979446.72538,0.856109442251041,0.000330189402521018,0.411067791624435,0.000172448979591837,0.22892,8.5088e-08,0.21382,2.13665028974553e-08,0.021382,3.27479938958749e-08,3197.32,45409.582,176489.686666667,835380.76279798,0.724377621662804,0.241,0.0004176,0.000468111111111111,0.00420063737373737,1.0730612244898,10272.7738938776,10188.1654530612,3202.13847302041,0.000272393390208055,0.000184047770355673,6.89322448979592e-05,2.03138775510204e-05,2.03138775510204e-07,0.45,300,500,0.015,5,1,0,0,10,116,0.8
