run,villages-point-mean,population-point-var,population-stability-mean-5-mean,population-stability-var-5-var,population-stability-mean-10-mean,population-stability-var-10-var,population-stability-mean-100-mean,population-stability-var-100-var,population-trend-5-mean,population-trend-10-var,population-trend-100-mean,matrilocal-point-var,matrilocal-stability-mean-5-mean,matrilocal-stability-var-5-var,matrilocal-stability-mean-10-mean,matrilocal-stability-var-10-var,matrilocal-stability-mean-100-mean,matrilocal-stability-var-100-var,population-point-mean,population-stability-var-5-mean,population-stability-var-10-mean,population-stability-var-100-mean,population-trend-10-mean,matrilocal-point-mean,matrilocal-stability-var-5-mean,matrilocal-stability-var-10-mean,matrilocal-stability-var-100-mean,villages-point-var,population-stability-mean-5-var,population-stability-mean-10-var,population-stability-mean-100-var,population-trend-5-var,population-trend-100-var,matrilocal-stability-mean-5-var,matrilocal-stability-mean-10-var,matrilocal-stability-mean-100-var
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,19.98,100559.68,2262.456,66692.1573714286,2288.122,588703.503831141,2742.0882,1005544998.36487,0.98116805097449,0.000255662589399447,0.693745433176748,0,0,0,0,0,0,0,2241.56,345.976,1139.46422222222,85760.972430303,0.95992374244116,0,0,0,0,6.38734693877551,100317.913534694,100821.976853061,77968.486239551,8.79942067316517e-05,0.00335438804830519,0,0,0
3,50,4824.73469387755,9730.76,189184.098404082,9730.24,1229902.62959012,9731.2256,9916949.87263813,0.999890132635487,6.29447532146175e-05,1.00246532615701,0,0,0,0,0,0,0,9730.4,318.658,916.095111111111,5468.54569292929,0.999913006096952,0,0,0,0,0,4820.27755102041,4414.40081632652,1936.00211085714,1.85701588418503e-05,0.000127497413908295,0,0,0
4,50,9350.74489795918,11966.308,394221.656444898,11966.628,3991533.82366863,11984.3914,3515765.17245194,1.00029363001059,6.15579382245243e-05,0.997988967742254,0,0,0,0,0,0,0,11968.9,428.478,1272.85244444444,4895.50932727273,1.00003437089895,0,0,0,0,0,8069.69666938775,6062.75348571429,1607.96976738776,1.76173844207621e-05,9.42674329763382e-05,0,0,0
5,50,5573.74734693878,13642.332,168628.472346939,13642.24,839406.092431545,13631.8138,3020315.46960513,1.00021011742714,2.91529563066858e-05,1.00082258338618,0,0,0,0,0,0,0,13643.26,336.07,862.585777777778,4298.95711717172,1.00012750118611,0,0,0,0,0,5591.94058775511,4638.5093877551,659.592636285709,1.07282855453408e-05,6.27584953339045e-05,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,24.28,268774.336734694,4178.556,320938.855432653,4213.798,3653958.83465966,4830.2186,4632906295.84187,0.987648554378996,0.000187869979558148,0.760420099225176,0,0,0,0,0,0,0,4152.9,578.374,2289.56155555556,152370.386191919,0.969796415989768,0,0,0,0,7.22612244897959,270355.897616327,269599.640608163,197691.609065347,5.41415780016604e-05,0.00272267090526043,0,0,0
9,50,6364.66326530612,11848.136,124074.559057143,11846.646,1308386.88252058,11846.498,2969519.26128471,0.999985708986752,4.51864120572296e-05,0.998934246974333,0,0,0,0,0,0,0,11848.1,353.982,987.205111111111,4031.89068282828,1.00048570966741,0,0,0,0,0,5999.75092244897,4853.94294285715,1022.85410204081,1.31182559599217e-05,0.000116697422431073,0,0,0
10,50,5608.37918367347,13567.128,197262.07464898,13567.62,4330730.38862464,13569.891,4491897.12976539,1.00053378278839,4.20591680445713e-05,1.00042425760244,0,0,0,0,0,0,0,13572.22,420.162,1231.24711111111,4293.16548888889,1.00014722843797,0,0,0,0,0,6201.79389387756,5316.14816326531,751.291107142858,1.17891576157684e-05,6.29269497626138e-05,0,0,0
