run,villages-point-mean,population-point-var,population-stability-mean-5-mean,population-stability-var-5-var,population-stability-mean-10-mean,population-stability-var-10-var,population-stability-mean-100-mean,population-stability-var-100-var,population-trend-5-mean,population-trend-10-var,population-trend-100-mean,matrilocal-point-var,matrilocal-stability-mean-5-mean,matrilocal-stability-var-5-var,matrilocal-stability-mean-10-mean,matrilocal-stability-var-10-var,matrilocal-stability-mean-100-mean,matrilocal-stability-var-100-var,population-point-mean,population-stability-var-5-mean,population-stability-var-10-mean,population-stability-var-100-mean,population-trend-10-mean,matrilocal-point-mean,matrilocal-stability-var-5-mean,matrilocal-stability-var-10-mean,matrilocal-stability-var-100-mean,villages-point-var,population-stability-mean-5-var,population-stability-mean-10-var,population-stability-mean-100-var,population-trend-5-var,population-trend-100-var,matrilocal-stability-mean-5-var,matrilocal-stability-mean-10-var,matrilocal-stability-mean-100-var
1851,19.38,6666.13918367347,1404.3,39708586.9754326,1604.398,50510398.6515054,2454.9532,1740742164.93531,0.700993206587431,0.000388409761248597,0.299854348634277,0.00116718367346939,0.46912,2.34217020816327e-05,0.23456,2.87973933303099e-05,0.023456,8.76706524071638e-07,1159.94,38363.726,61775.3633333333,385952.990165657,0.636095881833137,0.5104,0.0058114,0.0638420888888889,0.0108159462626263,0.648571428571429,8059.61346938775,8830.09448571429,3702.14606710204,0.000384992208980771,0.000444922764470826,0.000469087346938776,0.000117271836734694,1.17271836734694e-06
1852,20,7664.20571428571,5107.284,14606842.6282653,5269.776,51035561.2732848,5234.9276,165357754.895144,0.923833367356399,8.47404161343852e-05,1.11103900117047,0.00586122448979592,0.1834,2.88770663265306e-05,0.0917,5.3890560909549e-05,0.00917,1.27177360569725e-06,4906.72,25541.43,41051.8351111111,59238.859749495,0.903730517570059,0.266,0.007685,0.0134883333333333,0.00205034848484848,0,8960.19933061226,9414.96553469389,2270.25837371428,2.58560316702868e-05,0.00040397242340327,0.00268004081632653,0.000670010204081633,6.70010204081633e-06
1853,20,5013.02204081633,7607.548,11041718.8901265,7757.722,83334071.2444227,7507.2794,915072051.6446,0.958514497595744,8.53300442761881e-05,1.50644476304282,0.00873877551020408,0.1032,1.25466581632653e-05,0.0516,7.29445754598136e-05,0.00516,1.91769092741474e-06,7457.72,16393.926,33089.7131111111,480710.89739596,0.942708680616074,0.144,0.004055,0.00579,0.000852636363636364,0,5188.45193469388,4553.20297551019,1178.56950371428,1.58110969881062e-05,0.000228573330272626,0.00378138775510204,0.00094534693877551,9.4534693877551e-06
1854,20,4262.28408163265,9383.672,8674609.56238367,9521.78,69922532.5928458,9226.7552,811179894.095539,0.970949648813143,5.97889270482083e-05,1.69219964903487,0.00426632653061225,0.083,9.25e-06,0.0415,1.49803240740741e-05,0.00415,3.30823086695652e-07,9259.96,12303.008,27484.2053333333,839010.803490909,0.958141658816714,0.113,0.00295,0.00375277777777778,0.000540934343434343,0,4534.32450612246,3575.43551020408,999.016139755099,1.2490505663001e-05,0.000166346774457437,0.00193979591836735,0.000484948979591837,4.84948979591837e-06
1855,20,2658.74326530612,10691.5,12113935.463351,10829.346,74382772.206129,10549.715,912444763.969688,0.976718592652256,4.6132507000412e-05,1.76728998422092,0.0044734693877551,0.074,5.93612244897959e-06,0.037,7.47245653817083e-06,0.0037,1.63378357477059e-07,10582.46,10436.854,26553.5864444444,1023851.85228485,0.964418428995311,0.096,0.00249,0.00306444444444444,0.000438767676767677,0,3128.70081632653,3075.3127387755,529.793074489797,1.64095081214375e-05,8.33481352867073e-05,0.00160408163265306,0.000401020408163265,4.01020408163265e-06
1856,19.3,5104.11795918367,1340.944,52715205.660902,1582.736,98217052.9536004,2455.5312,1162223932.45573,0.670935912648634,0.000569544087739229,0.28030656660277,0.00116261224489796,0.50284,1.16181555102041e-06,0.25142,2.49106755701688e-05,0.025142,7.21286060382386e-07,1084.62,42659.046,84204.4822222222,386953.98299798,0.589374425433544,0.5208,0.0007874,0.0706635333333333,0.0121768866666667,0.581632653061225,5487.40414693877,5808.1554122449,1877.28965159184,0.000591215272561455,0.000342325157016303,0.00028654530612245,7.16363265306124e-05,7.16363265306123e-07
1857,20,4997.55755102041,4882.856,70586951.0486367,5150.026,142493293.080143,5217.4086,218194847.358802,0.862074062912479,0.000101955116998778,1.02173184238515,0.00624081632653061,0.2884,0.00010125318877551,0.1442,0.00012917756361804,0.01442,3.33628029938636e-06,4509.56,80937.944,115714.846888889,65826.558369697,0.833068938943726,0.422,0.017775,0.0319444444444444,0.00487131313131313,0,5130.1143510204,5051.23175918368,1879.82863269388,3.83365309543074e-05,0.000260976358464392,0.0034545306122449,0.000863632653061224,8.63632653061225e-06
1858,20,4115.8106122449,7432.372,29613526.7626286,7670.648,124988675.533149,7485.9998,878829077.841169,0.924975715540404,4.98257410636278e-05,1.44371555136825,0.00624081632653061,0.181,3.60205102040816e-05,0.0905,4.9553615835223e-05,0.00905,1.20501056850196e-06,7145.16,51956.532,86685.4204444445,482977.561238384,0.903284672147818,0.272,0.00918,0.0140538888888889,0.00209367171717172,0,4342.60409795918,4189.08336326531,2104.41283057143,1.210406598193e-05,0.000170152793089103,0.00320918367346939,0.000802295918367347,8.02295918367347e-06
1859,20,3716.33632653061,9206.248,30910476.5364245,9431.816,197521585.286114,9207.7358,1155634388.77285,0.947965249751503,6.05264102188851e-05,1.63965110390462,0.00927448979591837,0.144,4.24509183673469e-05,0.072,3.9188644494835e-05,0.0072,8.65131349154293e-07,8972.48,37476.052,74116.4795555556,836541.638725253,0.928917811163114,0.219,0.00691,0.00966888888888889,0.00141880808080808,0,4689.8376489796,4048.34545306121,1004.63761261224,1.19665570704946e-05,0.000126365926664059,0.00307755102040816,0.000769387755102041,7.69387755102041e-06
1860,20,4899.73918367347,10521.484,32649158.8454245,10729.842,198718061.450457,10531.353,1027869313.7178,0.96076161036056,5.58582702302496e-05,1.72420369639307,0.0081265306122449,0.1194,2.29024489795918e-05,0.0597,3.78561819727891e-05,0.00597,8.70876506484136e-07,10328.34,27725.378,61532.0611111111,1014307.41874949,0.944072159093094,0.156,0.00441,0.00677722222222222,0.00101024747474747,0,5464.31361632653,4759.16534285714,689.631254081624,1.54675790940338e-05,0.00013336084636699,0.00314861224489796,0.00078715306122449,7.8715306122449e-06
