run,villages-point-mean,population-point-var,population-stability-mean-5-mean,population-stability-var-5-var,population-stability-mean-10-mean,population-stability-var-10-var,population-stability-mean-100-mean,population-stability-var-100-var,population-trend-5-mean,population-trend-10-var,population-trend-100-mean,matrilocal-point-var,matrilocal-stability-mean-5-mean,matrilocal-stability-var-5-var,matrilocal-stability-mean-10-mean,matrilocal-stability-var-10-var,matrilocal-stability-mean-100-mean,matrilocal-stability-var-100-var,population-point-mean,population-stability-var-5-mean,population-stability-var-10-mean,population-stability-var-100-mean,population-trend-10-mean,matrilocal-point-mean,matrilocal-stability-var-5-mean,matrilocal-stability-var-10-mean,matrilocal-stability-var-100-mean,villages-point-var,population-stability-mean-5-var,population-stability-mean-10-var,population-stability-mean-100-var,population-trend-5-var,population-trend-100-var,matrilocal-stability-mean-5-var,matrilocal-stability-mean-10-var,matrilocal-stability-mean-100-var
2091,19.4,10497.9302040816,1552.464,127112998.691678,1962.24,875722905.018114,3588.3698,2990044955.763,0.65578848062937,0.000884897583700077,0.226683531334227,0.000774857142857144,0.46568,2.13318595918367e-06,0.40016,2.48577587100025e-06,0.040016,8.94285046224604e-07,1238.78,65481.466,236321.820888889,774662.01389697,0.469625881813684,0.5192,0.0025624,0.00609951111111111,0.0151227228282828,0.571428571428571,10172.1101061224,7389.41591836734,5329.90254077551,0.000841342261314049,0.000344088108599878,0.000418997551020408,0.000124912653061225,1.24912653061225e-06
2092,28.5,14956.2514285714,5961.628,742192378.915514,6656.936,3767968871.18187,7831.415,717332333.653586,0.866280577615415,0.000162945735969213,0.77965133342736,0.000437102040816327,0.32864,2.47489387755102e-08,0.30246,3.74819229478458e-06,0.030246,9.86692818654073e-08,5565.44,117237.414,690630.612,297256.692147475,0.702381460708023,0.3242,0.0001402,0.00394935555555556,0.00868101232323233,1.19387755102041,10337.8596081633,10988.7031673469,3805.48974387756,0.000214334995710719,0.00026099236001421,3.14187755102041e-05,6.09473469387754e-05,6.09473469387755e-07
2093,30,8061.59183673469,9663.204,397200418.633567,10396.482,3570341083.51405,11342.6886,4025312079.64926,0.878560948494733,3.66283077416682e-05,1.02620452853405,0,0.32748,1.6533918367347e-08,0.2667,8.62099023683548e-06,0.02667,2.38677418844183e-07,9052.2,249966.948,780922.590444445,707747.006612121,0.778892218757322,0.33,7.74000000000001e-05,0.00805366666666667,0.00721581515151515,0,9971.39182040816,10105.4962,2394.32028983674,1.96764834333592e-05,0.000141426725434905,1.48261224489796e-05,0.000195316326530612,1.95316326530612e-06
2094,30,6863.80571428571,12612.524,507170918.859445,13206.052,2342849229.76029,14013.8988,3138390892.53967,0.919170672464901,3.67777686036842e-05,1.14467152117786,0.000183673469387755,0.29184,3.4109432244898e-06,0.22344,8.74547754295793e-06,0.022344,5.40478875117866e-07,12058.48,175078.288,524477.331555556,849539.413842424,0.846839899754294,0.324,0.0018742,0.00879231111111111,0.0053775301010101,0,5105.01533061223,5222.28866938776,1874.83270873469,2.4560766259525e-05,0.000100023932153081,0.000284545306122449,0.000443965714285714,4.43965714285714e-06
2095,30,8345.64244897959,14815.304,214075934.905555,15295.596,1005316052.5895,16040.9424,2626970127.53126,0.948893529908598,2.12316825732979e-05,1.17972995412271,0.00101632653061224,0.25824,2.02908330612245e-06,0.19524,9.92258790828924e-06,0.019524,8.19928807328865e-07,14416.48,94107.266,341471.696444445,766848.227288889,0.891283111351084,0.29,0.0017694,0.00729968888888889,0.00419657898989899,0,6765.68039183674,5190.97345306122,1198.57680228572,1.46971932824382e-05,8.99582608658134e-05,0.000823451428571429,0.000759206530612245,7.59206530612245e-06
2096,18.84,14971.7718367347,1483.692,155675118.95102,1902.548,1308310129.7092,3562.3402,2994134871.09305,0.648012213481098,0.00150526344070868,0.213743781016739,0.00124657142857143,0.48028,2.04285208163265e-06,0.41032,3.15689543965735e-06,0.041032,1.08828869663029e-06,1170.06,61832,244981.542222222,803506.892785859,0.453187259547304,0.5394,0.0023364,0.00678511111111111,0.0159352828282828,1.44326530612245,12792.8705469388,10213.681322449,5917.92143465306,0.00143287063389851,0.000488203622562104,0.000446532244897959,0.000143364897959184,1.43364897959184e-06
2097,27.32,21499.5351020408,5561.152,1546424780.95925,6292.332,7512301223.25761,7797.647,988955732.931174,0.858747176882906,0.000327436801830575,0.724035734657034,0.000477918367346939,0.33984,1.23721673469388e-07,0.33074,2.51187947089947e-07,0.033074,1.04540088717353e-07,5165.34,114383.344,790513.852888889,404526.404745455,0.664388439527017,0.3558,0.0003674,0.000558066666666667,0.00999796424242424,2.05877551020408,8971.35275102041,7403.77364897959,3419.33887040816,0.000540863498144418,0.000435222238034807,6.82187755102039e-05,3.12167346938776e-05,3.12167346938776e-07
2098,29.62,10494.1881632653,8578.096,1094427169.43233,9590.586,7891051646.25641,11264.3318,3111840091.41299,0.873889577774464,7.10916668658175e-05,0.913871773587786,5.86122448979593e-05,0.32916,2.92085714285715e-09,0.30686,4.56104945376669e-06,0.030686,1.18811259146026e-07,8068.66,218532.546,1455485.65577778,982476.713856566,0.704988257738182,0.3284,2.66000000000001e-05,0.00339326666666667,0.00887613878787879,0.403673469387755,6923.50406530613,7589.63714693877,2903.35937832653,7.89087543371616e-05,0.000139477020892763,8.99428571428573e-06,8.2857551020408e-05,8.28575510204082e-07
2099,29.96,8059.99346938776,11063.656,1305653701.5952,12184.11,10095805513.7673,13906.737,2368346112.13965,0.868732181490396,4.44996357949605e-05,0.981507254460844,1.01632653061225e-05,0.32996,1.34693877551021e-10,0.28726,6.46074424237843e-06,0.028726,1.68190066177712e-07,10349.08,384352.87,1752426.09577778,1218778.1012101,0.735065022287295,0.3298,2e-06,0.00601891111111111,0.00806102646464647,0.0391836734693878,6960.51598367346,6549.03234693877,2074.61554387755,3.37160448279264e-05,9.43660472018523e-05,4.06530612244899e-07,0.000136808571428571,1.36808571428571e-06
2100,30,6240.43306122449,13152.192,1064888457.36915,14240.28,7809805095.52045,15939.6998,2372059322.32795,0.872369902592661,2.64463713731061e-05,1.00568215013892,0,0.32928,3.49126530612246e-09,0.27152,1.05068290934744e-05,0.027152,3.01224624146891e-07,12293.66,512877.794,1696906.41333333,1154549.29683838,0.766480039076421,0.33,2.16e-05,0.00794128888888889,0.00744684808080808,0,6485.06932244897,5058.70775510204,1087.3202142449,1.48563823900917e-05,3.65114960506334e-05,3.87918367346939e-06,0.000256050612244898,2.56050612244898e-06
