run,villages-point-mean,population-point-var,population-stability-mean-5-mean,population-stability-var-5-var,population-stability-mean-10-mean,population-stability-var-10-var,population-stability-mean-100-mean,population-stability-var-100-var,population-trend-5-mean,population-trend-10-var,population-trend-100-mean,matrilocal-point-var,matrilocal-stability-mean-5-mean,matrilocal-stability-var-5-var,matrilocal-stability-mean-10-mean,matrilocal-stability-var-10-var,matrilocal-stability-mean-100-mean,matrilocal-stability-var-100-var,population-point-mean,population-stability-var-5-mean,population-stability-var-10-mean,population-stability-var-100-mean,population-trend-10-mean,matrilocal-point-mean,matrilocal-stability-var-5-mean,matrilocal-stability-var-10-mean,matrilocal-stability-var-100-mean,villages-point-var,population-stability-mean-5-var,population-stability-mean-10-var,population-stability-mean-100-var,population-trend-5-var,population-trend-100-var,matrilocal-stability-mean-5-var,matrilocal-stability-mean-10-var,matrilocal-stability-mean-100-var
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,43.88,989760.724897959,20227.504,462691.492004082,20240.812,7209079.23444374,20571.0724,6470564748.34716,0.998587102575755,3.44026186930857e-05,0.963735832048497,0.000151020408163265,0.22564,1.67448979591837e-09,0.22486,3.4489035021416e-09,0.219976,6.67930362790969e-09,20212.64,676.294,2265.95733333333,78818.8517737374,0.9972167596615,0.226,1.1e-05,2.33555555555556e-05,7.70707070707071e-05,4.35265306122449,966936.790595918,940248.456179592,741500.207247184,7.03718336875322e-06,0.000524409701007421,0.000145092244897959,0.000124041224489796,8.06728816326531e-05
235,50,10838.5714285714,27057.88,815684.695204082,27064.426,8832533.39201114,27065.187,14938565.2588632,1.00025075394208,2.06490263187644e-05,1.00001882035835,0,0.2,0,0.2,0,0.2,0,27065.4,937.17,2554.19622222222,7373.14560606061,0.999846262687169,0.2,0,0,0,0,10154.4506122449,7916.92645306124,1097.2672255102,6.47829394862984e-06,2.51718024948351e-05,0,0,0
236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
