run,villages-point-mean,population-point-var,population-stability-mean-5-mean,population-stability-var-5-var,population-stability-mean-10-mean,population-stability-var-10-var,population-stability-mean-100-mean,population-stability-var-100-var,population-trend-5-mean,population-trend-10-var,population-trend-100-mean,matrilocal-point-var,matrilocal-stability-mean-5-mean,matrilocal-stability-var-5-var,matrilocal-stability-mean-10-mean,matrilocal-stability-var-10-var,matrilocal-stability-mean-100-mean,matrilocal-stability-var-100-var,population-point-mean,population-stability-var-5-mean,population-stability-var-10-mean,population-stability-var-100-mean,population-trend-10-mean,matrilocal-point-mean,matrilocal-stability-var-5-mean,matrilocal-stability-var-10-mean,matrilocal-stability-var-100-mean,villages-point-var,population-stability-mean-5-var,population-stability-mean-10-var,population-stability-mean-100-var,population-trend-5-var,population-trend-100-var,matrilocal-stability-mean-5-var,matrilocal-stability-mean-10-var,matrilocal-stability-mean-100-var
1281,50,16042.3759183673,4855.88,1850834.57795918,4952.116,14025686.6337689,6479.3602,16546300943.9561,0.959251301182389,7.96258198347372e-05,0.492018681907472,0,1,0,1,0,0.995056,1.21857857712045e-06,4756.46,6442.54,13734.448,1765834.9162404,0.936220563614869,1,0,0,0.00112015515151515,0,15617.2016326531,15488.978922449,7171.79201832653,2.0701446452348e-05,0.000173699146740085,0,0,1.00033306122449e-05
1282,50,17160.107755102,13628.592,4366396.01153061,13678.38,36887008.6120333,13244.3276,2613095029.14549,0.992871925829631,6.14376710028283e-05,1.23225210078645,0,1,0,1,0,0.994664,1.5680858308086e-06,13586.12,2054.57,5170.71555555556,415472.17600404,0.989537634257603,1,0,0,0.00129777777777778,0,17562.1321795919,17031.4812244898,8404.76044310206,1.63974873176064e-05,0.000144645370232311,0,0,1.01296979591837e-05
1283,50,16449.0187755102,19783.976,4161184.34083265,19822.756,47434992.9980517,18862.266,15067155148.774,0.996748306079216,6.55921458186921e-05,1.5986691138558,0,1,0,1,0,0.993992,3.03285180273e-06,19759.04,1772.772,5442.35377777778,3110415.30970909,0.994972964488443,1,0,0,0.00153294060606061,0,14505.6794122449,12991.8551673469,4654.38839999999,1.59066795624533e-05,0.000110848641093773,0,0,1.52374857142857e-05
1284,50,18262.5714285714,24139.112,5205529.95102041,24168.748,33561506.8746155,23136.798,14807422339.1836,0.997394810149324,5.17031346877385e-05,1.76333896583377,0,1,0,1,0,0.994172,3.06663238719914e-06,24114.8,1990.64,5584.13688888889,5266553.00199596,0.997271245166574,1,0,0,0.00149120404040404,0,14231.7586285714,11058.0135673469,2787.65757142858,1.33901740305642e-05,9.98713664396369e-05,0,0,1.83494040816327e-05
1285,50,15739.5575510204,27350.264,11403925.2044898,27395.52,58848612.4587279,26434.1198,12925649881.9312,0.997308359636583,3.27664481658297e-05,1.82663518423757,0,1,0,1,0,0.993788,3.36758821496349e-06,27322.44,2423.96,6317.06933333333,6453278.36496768,0.995640644190993,1,0,0,0.0016353898989899,0,12818.630922449,9626.558367347,1792.73074485715,1.18644198045597e-05,8.22123673502305e-05,0,0,1.73623020408164e-05
1286,49.88,18614.7608163265,4766.532,6157306.45590204,4898.722,41167920.4538206,6467.7566,19400882110.9766,0.938754334787706,0.000112065451059781,0.477485895754437,0,1,0,1,0,0.994836,1.11374969545282e-06,4615.12,14234.296,26495.2202222222,1768129.69973939,0.911202444897002,1,0,0,0.00112705696969697,0.107755102040816,19046.1348734694,18845.2066489796,4904.92674942857,2.62782403446661e-05,0.000202843301005352,0,0,9.82316734693874e-06
1287,50,18953.193877551,13600.46,7266092.05522041,13675.234,46579415.465618,13265.4514,3570103197.95352,0.98807841649048,6.74228435388388e-05,1.22647618698945,0,1,0,1,0,0.995028,1.58071443480095e-06,13525.7,4661.322,9975.89311111111,419843.559218182,0.98410236072553,1,0,0,0.00111375595959596,0,18805.7130612245,18401.436167347,9121.39348167348,1.35203184043868e-05,0.000154031939975217,0,0,1.13681795918367e-05
1288,50,16449.4106122449,19751.2,14370801.5288816,19821.146,76542955.5974634,18867.4238,16325321590.5033,0.9928260040391,4.21692035034663e-05,1.59254129170233,0,1,0,1,0,0.994144,3.10255734319422e-06,19690.24,4256.236,9507.726,3115161.52745657,0.990176250111656,1,0,0,0.00151525333333333,0,16320.3542857143,14424.2849836735,4652.27429751022,1.39341581740292e-05,0.000113087395527268,0,0,1.60065959183674e-05
1289,50,12473.6016326531,24060.528,7974742.59673469,24123.164,59920134.0291257,23138.6624,18202497355.689,0.995116046028224,4.15278379663385e-05,1.75694122084718,0,1,0,1,0,0.994256,2.70333742577438e-06,24014.48,3412.42,9088.44888888889,5311295.81395556,0.993327108152949,1,0,0,0.00137531151515152,0,11599.9522612245,11169.8092897959,2933.07939820407,1.18760199390792e-05,6.71814266195339e-05,0,0,1.35592489795918e-05
1290,50,10723.5444897959,27298.608,6765588.65554694,27371.364,51402301.9930131,26433.8954,16819286726.594,0.99598363102116,1.76107199579127e-05,1.82223253100997,0,1,0,1,0,0.994604,1.21965284659316e-06,27258.08,3130.342,9103.252,6438371.18250303,0.992892688699166,1,0,0,0.0012433397979798,0,11964.6497306122,11405.2619428571,2466.98385799997,8.63699754096754e-06,5.11209640645535e-05,0,0,1.03436571428572e-05
