run,villages-point-mean,population-point-var,population-stability-mean-5-mean,population-stability-var-5-var,population-stability-mean-10-mean,population-stability-var-10-var,population-stability-mean-100-mean,population-stability-var-100-var,population-trend-5-mean,population-trend-10-var,population-trend-100-mean,matrilocal-point-var,matrilocal-stability-mean-5-mean,matrilocal-stability-var-5-var,matrilocal-stability-mean-10-mean,matrilocal-stability-var-10-var,matrilocal-stability-mean-100-mean,matrilocal-stability-var-100-var,population-point-mean,population-stability-var-5-mean,population-stability-var-10-mean,population-stability-var-100-mean,population-trend-10-mean,matrilocal-point-mean,matrilocal-stability-var-5-mean,matrilocal-stability-var-10-mean,matrilocal-stability-var-100-mean,villages-point-var,population-stability-mean-5-var,population-stability-mean-10-var,population-stability-mean-100-var,population-trend-5-var,population-trend-100-var,matrilocal-stability-mean-5-var,matrilocal-stability-mean-10-var,matrilocal-stability-mean-100-var
6461,27.08,417527.275102041,11274.496,458928278.40578,11702.4,4409350345.6485,18509.9888,4582642677523.15,0.945233689178318,9.99574224408684e-05,0.426892385655698,0.00139412244897959,0.30148,1.65632346938776e-06,0.29764,1.04182343159486e-06,0.196966,6.7769889002201e-07,10960.48,65276.456,274048.017777778,18025656.6131475,0.876928960533195,0.3024,0.000957,0.00117355555555556,0.00434974161616162,4.19755102040816,460713.368555102,511596.628571429,132671.793937306,4.5601297106607e-05,0.000662350808245301,0.000502662857142857,0.000371663673469388,3.67455551020408e-05
6462,31.32,397016.326530612,14879.524,363667969.89602,15210.39,2971108287.90273,20881.2318,2443966231753.1,0.963113789054503,0.000200416072126565,0.536331707193068,0.00132473469387755,0.22828,8.52627102040817e-07,0.22456,4.41422113378685e-07,0.177528,2.63996405159157e-07,14597.8,50414.57,166689.384222222,13505654.6764465,0.923994142062356,0.2324,0.0010288,0.00117231111111111,0.00300803151515152,1.32408163265306,357752.564718367,311449.436836735,74363.6359048571,6.13262656061667e-05,0.000561358611912529,0.000768164897959184,0.000567475918367347,1.53653224489796e-05
6463,0,0,0,0,0,0,733.1854,18168062219.6461,0,0,0,0,0,0,0,0,0.162302,4.71608735475066e-05,0,0,0,1815936.40238182,0,0,0,0,0.0793959909090909,0,0,0,1848.16966208163,0,0,0,0,0.000203397751020408
6464,0,0,0,0,0,0,1956.07,195952165029.846,0,0,0,0,0,0,0,0,0.200168,2.66788396124654e-05,0,0,0,8379367.66553131,0,0,0,0,0.0835388416161616,0,0,0,8162.61859591837,0,0,0,0,0.000152896506122449
6465,0,0,0,0,0,0,3461.8344,240316345153.78,0,0,0,0,0,0,0,0,0.227152,2.52680185158143e-05,0,0,0,18992683.8138465,0,0,0,0,0.0821794331313131,0,0,0,15239.0221108571,0,0,0,0,0.000173806220408163
6466,0,0,0,0,0,0,4955.6978,442569127984.149,0,0,0,0,0,0,0,0,0.257452,3.25503297416259e-05,0,0,0,30649055.4134687,0,0,0,0,0.0824659927272727,0,0,0,32387.5040215918,0,0,0,0,0.000312790710204082
6467,0,0,0,0,0,0,6511.597,753825379584.68,0,0,0,0,0,0,0,0,0.280682,2.15270549999591e-05,0,0,0,42081774.7490242,0,0,0,0,0.0799618567676768,0,0,0,53921.1104663265,0,0,0,0,0.000379751710204082
6468,0,0,0,0,0,0,8018.6456,1223716227993.38,0,0,0,0,0,0,0,0,0.303022,1.65210235567128e-05,0,0,0,51967032.575996,0,0,0,0,0.0770097537373737,0,0,0,69299.3838414694,0,0,0,0,0.00036995032244898
6469,0,0,0,0,0.342,171007.2162,9844.2638,2273902044429.9,0,0,0,0,0,0,0.002,2e-04,0.325066,1.55001384859316e-05,0,0,58.482,59158321.7372303,0,0,0,0.002,0.0704957416161616,0,0,5.8482,170282.003215878,0,0,0,2e-04,0.000299603514285714
6470,0.02,486.72,10.404,5195813.74713878,49.226,468846166.095043,11509.9654,8967768676608.22,0.0093134328358209,0.0016386499452908,0.000122492246083782,0.02,0.056,0.00583265306122449,0.17078,0.0102019744653308,0.352948,3.11271903111934e-05,3.12,643.498,10474.9051111111,62989735.8875253,0.00572477064220184,0.02,0.022,0.0943210888888889,0.0668402165656566,0.02,1610.8595755102,7521.91053469388,241582.916278408,0.00433700155936734,7.50217517532485e-07,0.0359836734693878,0.0544855220408163,0.000420504995918367
